,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
6197,Dec,1,Monday,Ford,Urban,Monday,Dec,1,Male,Single,74.0,Policy Holder,Sedan,60000 to 69000,0,13,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision
6198,Dec,3,Sunday,Mazda,Urban,Tuesday,Dec,3,Male,Married,44.0,Policy Holder,Sedan,less than 20000,0,10,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6199,Dec,2,Sunday,Mazda,Urban,Monday,Dec,2,Male,Single,33.0,Third Party,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
6200,Dec,2,Saturday,Pontiac,Urban,Monday,Dec,2,Male,Married,37.0,Policy Holder,Sport,30000 to 39000,0,15,700,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
6201,Sep,1,Tuesday,Pontiac,Urban,Thursday,Sep,5,Male,Married,47.0,Third Party,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
6202,Dec,2,Thursday,Honda,Urban,Monday,Dec,2,Male,Married,40.0,Policy Holder,Sedan,less than 20000,0,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
6203,Dec,1,Tuesday,Chevrolet,Urban,Tuesday,Dec,1,Male,Single,49.0,Policy Holder,Sedan,30000 to 39000,0,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
6204,Oct,2,Tuesday,Pontiac,Urban,Monday,Oct,3,Male,Married,61.0,Third Party,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6205,Oct,2,Wednesday,Pontiac,Urban,Thursday,Oct,3,Female,Married,34.0,Policy Holder,Sedan,less than 20000,0,11,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6206,Sep,2,Friday,Pontiac,Urban,Thursday,Oct,1,Male,Single,27.0,Policy Holder,Sedan,20000 to 29000,0,3,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
6207,Sep,1,Tuesday,Accura,Urban,Thursday,Sep,5,Male,Married,28.0,Policy Holder,Utility,more than 69000,1,6,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6208,Sep,1,Sunday,Mazda,Urban,Monday,Sep,1,Male,Married,30.0,Policy Holder,Sedan,20000 to 29000,0,10,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6209,Aug,3,Tuesday,Pontiac,Urban,Monday,Aug,4,Female,Married,30.0,Policy Holder,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6210,Aug,3,Monday,Mazda,Urban,Thursday,Aug,4,Male,Married,70.0,Policy Holder,Sport,20000 to 29000,0,9,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,more than 5,no change,1 vehicle,1995,Liability
6211,Mar,5,Friday,Toyota,Urban,Monday,Apr,4,Male,Married,30.0,Third Party,Sedan,less than 20000,0,14,400,2,none,more than 30,1,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,All Perils
6212,Feb,3,Monday,Honda,Urban,Wednesday,Feb,4,Male,Married,31.0,Policy Holder,Sport,20000 to 29000,0,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6213,Dec,5,Wednesday,Honda,Urban,Wednesday,Mar,5,Male,Married,45.0,Third Party,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,none,new,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
6214,Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,3,Male,Married,29.0,Policy Holder,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
6215,Dec,1,Thursday,Chevrolet,Urban,Wednesday,Dec,2,Male,Married,26.0,Policy Holder,Sport,30000 to 39000,0,13,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6216,Nov,5,Tuesday,Toyota,Urban,Wednesday,Dec,4,Male,Married,47.0,Third Party,Sport,20000 to 29000,0,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
6217,Sep,1,Saturday,Toyota,Urban,Monday,Sep,1,Male,Married,60.0,Third Party,Sedan,30000 to 39000,0,16,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6218,Jun,4,Friday,Chevrolet,Rural,Friday,Jul,2,Male,Married,31.0,Policy Holder,Sedan,30000 to 39000,0,8,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6219,Feb,2,Monday,Toyota,Rural,Wednesday,Feb,2,Male,Married,35.0,Policy Holder,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
6220,Jan,4,Tuesday,Toyota,Urban,Wednesday,Jan,4,Female,Married,53.0,Policy Holder,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
6221,Jan,4,Monday,Honda,Urban,Monday,Jan,4,Male,Single,34.0,Policy Holder,Sport,20000 to 29000,0,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6222,Jan,1,Saturday,Honda,Rural,Friday,Mar,4,Male,Married,39.0,Policy Holder,Sport,30000 to 39000,0,6,500,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability
6223,Feb,4,Wednesday,Honda,Urban,Tuesday,May,3,Male,Single,35.0,Policy Holder,Sport,more than 69000,0,14,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability
6224,Feb,3,Thursday,Pontiac,Urban,Friday,Feb,3,Male,Married,35.0,Policy Holder,Sport,more than 69000,0,5,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6225,Mar,4,Tuesday,Mazda,Urban,Tuesday,Mar,4,Male,Married,53.0,Policy Holder,Sport,20000 to 29000,0,7,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6226,Oct,1,Sunday,Pontiac,Urban,Monday,Oct,1,Female,Single,39.0,Policy Holder,Sport,less than 20000,0,13,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
6227,Apr,1,Sunday,Mazda,Urban,Tuesday,Apr,1,Male,Married,40.0,Policy Holder,Sport,30000 to 39000,0,2,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6228,Jan,4,Tuesday,Toyota,Urban,Thursday,Jan,4,Male,Single,37.0,Third Party,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
6229,Jan,4,Saturday,Pontiac,Urban,Monday,Jan,4,Female,Married,39.0,Policy Holder,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
6230,Feb,3,Tuesday,Mazda,Urban,Thursday,Feb,3,Male,Married,44.0,Policy Holder,Sedan,30000 to 39000,0,1,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6231,Apr,2,Monday,Mazda,Urban,Tuesday,Apr,2,Female,Single,30.0,Third Party,Sedan,less than 20000,0,16,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
6232,Oct,3,Friday,Chevrolet,Urban,Friday,Oct,3,Male,Married,57.0,Policy Holder,Sedan,30000 to 39000,0,14,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,3 to 4,1995,Collision
6233,Oct,4,Saturday,Chevrolet,Urban,Monday,Oct,4,Male,Single,60.0,Policy Holder,Sport,30000 to 39000,0,13,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6234,Nov,1,Thursday,Pontiac,Rural,Friday,Nov,1,Male,Married,42.0,Policy Holder,Sedan,30000 to 39000,0,15,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6235,Nov,1,Friday,Accura,Urban,Tuesday,Dec,1,Male,Married,41.0,Policy Holder,Sedan,30000 to 39000,0,14,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6236,Sep,2,Thursday,Ford,Urban,Friday,Sep,3,Female,Married,38.0,Third Party,Sedan,40000 to 59000,0,7,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6237,Mar,5,Wednesday,Pontiac,Urban,Wednesday,Apr,1,Male,Married,79.0,Policy Holder,Sedan,more than 69000,0,10,400,3,more than 30,more than 30,1,6 years,over 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,All Perils
6238,Mar,5,Tuesday,Pontiac,Urban,Tuesday,Apr,2,Male,Married,43.0,Third Party,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,Yes,Yes,External,more than 5,no change,1 vehicle,1995,All Perils
6239,Apr,4,Monday,Ford,Urban,Monday,Apr,4,Male,Married,40.0,Policy Holder,Sedan,40000 to 59000,0,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6240,Apr,4,Wednesday,Chevrolet,Urban,Wednesday,May,3,Male,Married,59.0,Third Party,Sedan,60000 to 69000,0,2,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6241,Apr,4,Monday,Honda,Urban,Monday,May,1,Male,Single,34.0,Policy Holder,Sport,more than 69000,0,4,400,4,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6242,May,3,Saturday,Toyota,Rural,Wednesday,May,3,Male,Married,26.0,Policy Holder,Sedan,less than 20000,0,7,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6243,May,2,Monday,Chevrolet,Urban,Wednesday,May,2,Male,Married,45.0,Third Party,Sedan,more than 69000,0,4,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
6244,Sep,2,Friday,Mazda,Urban,Monday,Sep,4,Male,Married,31.0,Third Party,Sedan,30000 to 39000,0,14,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6245,Jun,1,Monday,Toyota,Urban,Tuesday,Jun,3,Male,Married,34.0,Policy Holder,Sport,20000 to 29000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6246,Jun,5,Wednesday,Mazda,Urban,Friday,Jul,1,Male,Single,25.0,Policy Holder,Sedan,20000 to 29000,0,13,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils
6247,Jun,3,Monday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,32.0,Policy Holder,Sport,30000 to 39000,0,1,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6248,Sep,3,Monday,Toyota,Urban,Monday,Sep,3,Male,Married,30.0,Policy Holder,Sport,20000 to 29000,0,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6249,Sep,2,Saturday,Pontiac,Urban,Friday,Sep,3,Male,Married,49.0,Policy Holder,Sport,30000 to 39000,0,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
6250,Oct,3,Thursday,Pontiac,Urban,Friday,Oct,4,Male,Single,35.0,Third Party,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
6251,Oct,4,Friday,Chevrolet,Urban,Tuesday,Oct,4,Male,Married,37.0,Policy Holder,Utility,more than 69000,0,15,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6252,Nov,1,Thursday,Chevrolet,Urban,Thursday,Nov,2,Male,Married,76.0,Policy Holder,Sport,30000 to 39000,0,15,400,4,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6253,Oct,5,Saturday,Honda,Urban,Monday,Nov,3,Male,Single,33.0,Policy Holder,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6254,Nov,4,Friday,Mazda,Urban,Friday,Nov,4,Male,Single,27.0,Policy Holder,Sedan,30000 to 39000,0,4,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
6255,Nov,4,Friday,Mazda,Urban,Thursday,Dec,1,Male,Single,30.0,Third Party,Sport,more than 69000,0,3,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
6256,Apr,3,Friday,Accura,Urban,Tuesday,Apr,3,Male,Married,31.0,Policy Holder,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6257,Jun,1,Monday,Honda,Urban,Monday,Jun,1,Female,Married,38.0,Policy Holder,Sport,20000 to 29000,0,6,400,4,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
6258,May,5,Monday,Honda,Urban,Friday,Jun,1,Male,Married,33.0,Policy Holder,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision
6259,Sep,2,Friday,Honda,Urban,Wednesday,Sep,3,Male,Single,32.0,Policy Holder,Sport,20000 to 29000,0,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6260,Nov,2,Monday,Pontiac,Urban,Friday,Nov,3,Male,Married,28.0,Third Party,Sedan,less than 20000,0,9,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
6261,Jan,3,Tuesday,Chevrolet,Urban,Tuesday,Jan,3,Male,Married,28.0,Policy Holder,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
6262,May,1,Wednesday,Toyota,Urban,Friday,May,3,Female,Single,38.0,Policy Holder,Sport,20000 to 29000,0,9,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
6263,Jun,1,Saturday,Mercury,Urban,Monday,Jun,2,Male,Single,18.0,Policy Holder,Sedan,20000 to 29000,0,11,400,1,more than 30,more than 30,none,2 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6264,Jul,3,Tuesday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,54.0,Policy Holder,Sedan,less than 20000,0,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6265,Aug,1,Monday,Toyota,Urban,Monday,Aug,1,Female,Married,35.0,Third Party,Sedan,less than 20000,0,7,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6266,Jul,4,Tuesday,Honda,Urban,Wednesday,Jul,4,Male,Married,63.0,Policy Holder,Sport,30000 to 39000,0,3,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
6267,Nov,2,Wednesday,Mazda,Urban,Friday,Dec,2,Male,Married,57.0,Policy Holder,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
6268,Sep,2,Saturday,Pontiac,Rural,Saturday,Sep,3,Male,Single,31.0,Policy Holder,Sedan,20000 to 29000,1,8,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
6269,Dec,2,Thursday,Ford,Urban,Friday,Dec,2,Male,Single,37.0,Policy Holder,Sedan,40000 to 59000,0,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6270,Nov,3,Saturday,Pontiac,Urban,Thursday,Dec,1,Male,Married,52.0,Policy Holder,Sedan,20000 to 29000,0,15,400,4,more than 30,more than 30,none,7 years,41 to 50,Yes,Yes,External,more than 5,no change,1 vehicle,1995,All Perils
6271,Nov,3,Friday,Honda,Urban,Tuesday,Nov,4,Male,Married,28.0,Third Party,Sedan,less than 20000,0,6,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
6272,Dec,2,Monday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,63.0,Policy Holder,Sedan,less than 20000,0,3,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6273,May,3,Thursday,Honda,Urban,Thursday,Jun,1,Male,Single,29.0,Policy Holder,Sport,30000 to 39000,0,13,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,2 to 3 years,3 to 4,1995,Liability
6274,Sep,2,Saturday,BMW,Urban,Tuesday,Oct,1,Male,Married,65.0,Third Party,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6275,Aug,5,Monday,Mazda,Urban,Wednesday,Aug,5,Male,Married,59.0,Policy Holder,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6276,Aug,4,Sunday,Honda,Urban,Monday,Sep,3,Male,Married,46.0,Third Party,Sport,more than 69000,0,7,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6277,Aug,5,Monday,Mercury,Rural,Monday,Aug,5,Male,Married,56.0,Policy Holder,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
6278,Sep,2,Saturday,Accura,Urban,Friday,Sep,4,Male,Married,72.0,Policy Holder,Sedan,20000 to 29000,1,5,400,1,more than 30,more than 30,none,7 years,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils
6279,Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Married,39.0,Policy Holder,Sport,30000 to 39000,0,14,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,1 year,2 vehicles,1995,Liability
6280,Sep,3,Friday,Accura,Urban,Tuesday,Nov,3,Male,Married,61.0,Policy Holder,Sport,30000 to 39000,0,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability
6281,Oct,3,Tuesday,Honda,Urban,Wednesday,Oct,3,Male,Married,46.0,Policy Holder,Sport,30000 to 39000,0,2,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
6282,Oct,1,Wednesday,Pontiac,Urban,Thursday,Oct,1,Male,Married,44.0,Policy Holder,Sport,20000 to 29000,0,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
6283,Aug,5,Thursday,VW,Rural,Friday,Sep,1,Male,Married,47.0,Policy Holder,Sport,40000 to 59000,0,5,400,3,15 to 30,more than 30,none,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1995,Liability
6284,Sep,1,Saturday,Mercury,Urban,Thursday,Sep,2,Male,Single,22.0,Third Party,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6285,Aug,4,Friday,Honda,Urban,Tuesday,Aug,5,Male,Married,36.0,Policy Holder,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
6286,Aug,3,Sunday,Accura,Urban,Monday,Aug,5,Male,Married,56.0,Policy Holder,Sedan,30000 to 39000,0,14,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
6287,Aug,4,Tuesday,Chevrolet,Urban,Tuesday,Aug,5,Male,Married,62.0,Third Party,Sport,more than 69000,0,14,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6288,Aug,3,Friday,Honda,Urban,Thursday,Aug,4,Male,Single,32.0,Policy Holder,Sport,30000 to 39000,0,10,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6289,Jul,4,Thursday,Pontiac,Urban,Thursday,Jul,4,Male,Married,39.0,Third Party,Sedan,30000 to 39000,0,1,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6290,Jul,4,Tuesday,Ford,Urban,Wednesday,Aug,2,Male,Married,58.0,Policy Holder,Sedan,30000 to 39000,0,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6291,Jun,2,Tuesday,Toyota,Urban,Thursday,Jun,3,Male,Married,39.0,Third Party,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6292,Apr,3,Sunday,Toyota,Urban,Monday,Apr,3,Female,Single,31.0,Policy Holder,Sedan,20000 to 29000,0,2,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
6293,Sep,2,Saturday,Mazda,Urban,Tuesday,Sep,2,Male,Married,50.0,Policy Holder,Sedan,30000 to 39000,1,4,700,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
6294,Dec,2,Saturday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,54.0,Policy Holder,Sport,20000 to 29000,0,8,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
6295,Dec,2,Friday,Mazda,Urban,Friday,Dec,3,Male,Married,37.0,Policy Holder,Sedan,20000 to 29000,0,10,400,2,none,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
6296,Nov,3,Wednesday,Pontiac,Urban,Thursday,Nov,3,Male,Married,64.0,Policy Holder,Sedan,20000 to 29000,0,10,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision
6297,Nov,2,Saturday,Pontiac,Urban,Tuesday,Nov,3,Male,Single,21.0,Policy Holder,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Liability
6298,Nov,2,Friday,Chevrolet,Urban,Friday,Nov,2,Male,Married,45.0,Policy Holder,Sport,20000 to 29000,0,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
6299,Oct,5,Sunday,Mazda,Urban,Tuesday,Nov,1,Male,Single,28.0,Policy Holder,Sedan,30000 to 39000,0,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6300,Sep,2,Sunday,Toyota,Urban,Monday,Sep,2,Male,Married,37.0,Policy Holder,Sport,20000 to 29000,1,14,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Liability
6301,Sep,1,Monday,Pontiac,Rural,Wednesday,Sep,2,Male,Single,27.0,Policy Holder,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
6302,Aug,4,Sunday,Chevrolet,Urban,Monday,Aug,4,Male,Married,70.0,Policy Holder,Sport,30000 to 39000,0,9,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability
6303,Aug,1,Saturday,Chevrolet,Urban,Monday,Aug,2,Male,Married,36.0,Policy Holder,Sport,30000 to 39000,0,4,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
6304,Aug,1,Thursday,Mazda,Urban,Wednesday,Aug,5,Female,Single,42.0,Third Party,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
6305,Sep,2,Sunday,Pontiac,Urban,Monday,Sep,2,Male,Single,21.0,Third Party,Sedan,more than 69000,0,13,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
6306,Jul,3,Monday,Saab,Urban,Thursday,Jul,4,Male,Married,41.0,Policy Holder,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
6307,Jul,3,Saturday,Mazda,Urban,Monday,Aug,1,Male,Married,27.0,Policy Holder,Sport,20000 to 29000,0,9,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6308,Jul,2,Wednesday,Chevrolet,Urban,Thursday,Jul,3,Female,Single,27.0,Policy Holder,Sport,20000 to 29000,0,10,400,2,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
