PolicyNumber,DayOfWeek,WeekOfMonth,Month,Year,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,AccidentArea,NumberOfCars,Fault,PoliceReportFiled,WitnessPresent,Sex,Age,AgeOfPolicyHolder,MaritalStatus,DriverRating,Make,VehicleCategory,VehiclePrice,AgeOfVehicle,BasePolicy,PolicyType,RepNumber,AgentType,Deductible,Days_Policy_Accident,Days_Policy_Claim,NumberOfSuppliments,AddressChange_Claim,PastNumberOfClaims,FraudFound_P
8510,Saturday,5,Apr,1995,Monday,May,1,Urban,1 vehicle,Policy Holder,No,No,Female,34,31 to 35,Single,3,VW,Sedan,40000 to 59000,7 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,none,no change,1,0
8511,Sunday,4,Apr,1995,Tuesday,Apr,4,Rural,1 vehicle,Third Party,No,No,Male,52,41 to 50,Married,1,Mazda,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,14,External,400,15 to 30,more than 30,none,no change,none,0
8512,Saturday,2,Dec,1995,Tuesday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,51,41 to 50,Married,3,Honda,Sport,more than 69000,more than 7,Collision,Sport - Collision,13,External,400,more than 30,more than 30,none,no change,none,1
8513,Saturday,2,Aug,1995,Friday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Married,1,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,2 to 4,0
8514,Friday,5,Oct,1995,Monday,Oct,5,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Single,3,Toyota,Sedan,less than 20000,5 years,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,more than 5,no change,none,0
8515,Wednesday,3,Jan,1995,Wednesday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,38,36 to 40,Married,2,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
8516,Tuesday,1,May,1995,Wednesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,4,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
8517,Friday,4,Apr,1995,Wednesday,May,1,Urban,1 vehicle,Policy Holder,No,No,Female,32,31 to 35,Married,2,Honda,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,none,no change,2 to 4,0
8518,Saturday,3,Apr,1995,Monday,Apr,3,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,1,Chevrolet,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,6,External,500,15 to 30,more than 30,1 to 2,2 to 3 years,1,0
8519,Tuesday,3,Jun,1995,Friday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Married,3,Pontiac,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,3 to 5,no change,none,0
8520,Saturday,3,Jun,1995,Monday,Jun,3,Urban,1 vehicle,Third Party,No,No,Male,59,51 to 65,Married,1,Toyota,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,none,no change,more than 4,0
8521,Sunday,2,Dec,1995,Wednesday,Dec,4,Urban,1 vehicle,Policy Holder,Yes,No,Male,50,41 to 50,Married,1,Mazda,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,more than 5,no change,more than 4,1
8522,Sunday,2,Dec,1995,Monday,Dec,2,Urban,1 vehicle,Policy Holder,Yes,No,Female,33,31 to 35,Married,1,Mazda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,3,External,400,more than 30,more than 30,none,no change,more than 4,1
8523,Monday,5,Oct,1995,Tuesday,Oct,5,Urban,1 vehicle,Policy Holder,No,No,Male,43,36 to 40,Married,3,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
8524,Thursday,4,Oct,1995,Friday,Oct,4,Urban,1 vehicle,Third Party,No,No,Male,28,31 to 35,Married,2,Pontiac,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,3 to 5,no change,1,0
8525,Friday,4,Oct,1995,Tuesday,Nov,2,Urban,1 vehicle,Third Party,No,No,Male,23,26 to 30,Single,3,Honda,Sedan,more than 69000,5 years,Collision,Sedan - Collision,1,External,400,more than 30,more than 30,none,no change,none,0
8526,Monday,2,Jun,1995,Tuesday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,54,41 to 50,Married,2,Pontiac,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,more than 5,no change,none,0
8527,Tuesday,3,Mar,1995,Thursday,Apr,2,Urban,2 vehicles,Policy Holder,No,No,Male,33,31 to 35,Married,1,Honda,Sedan,less than 20000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,4 to 8 years,2 to 4,0
8528,Tuesday,5,Jun,1995,Friday,Jul,1,Urban,1 vehicle,Policy Holder,No,No,Male,43,36 to 40,Married,4,Mazda,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,none,no change,2 to 4,0
8529,Monday,4,Jun,1995,Friday,Nov,1,Urban,3 to 4,Third Party,No,No,Male,36,36 to 40,Married,3,Toyota,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8530,Thursday,2,Aug,1995,Friday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Male,55,41 to 50,Married,1,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,none,no change,none,0
8531,Monday,1,Aug,1995,Friday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Single,1,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,none,no change,more than 4,0
8532,Tuesday,4,Jul,1995,Monday,Aug,1,Urban,1 vehicle,Third Party,No,No,Male,43,36 to 40,Married,2,Mazda,Sport,more than 69000,7 years,Collision,Sport - Collision,15,External,400,more than 30,more than 30,3 to 5,no change,none,0
8533,Thursday,3,Sep,1995,Wednesday,Sep,4,Urban,1 vehicle,Third Party,No,No,Male,38,36 to 40,Single,4,Pontiac,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,none,no change,none,0
8534,Sunday,2,Dec,1995,Tuesday,Dec,2,Rural,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Single,2,Toyota,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
8535,Sunday,3,Nov,1995,Friday,Nov,4,Rural,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Married,1,Chevrolet,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,6,External,400,more than 30,more than 30,none,no change,1,0
8536,Tuesday,3,Nov,1995,Monday,Dec,3,Rural,1 vehicle,Policy Holder,No,No,Male,25,26 to 30,Single,2,Toyota,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,none,no change,more than 4,0
8537,Monday,1,Jun,1995,Friday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,2,Mazda,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,11,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8538,Sunday,4,May,1995,Monday,May,4,Urban,1 vehicle,Policy Holder,No,No,Female,25,26 to 30,Single,2,Honda,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8539,Tuesday,3,Sep,1995,Wednesday,Sep,3,Urban,1 vehicle,Third Party,Yes,Yes,Female,30,31 to 35,Single,4,Pontiac,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,none,no change,1,0
8540,Friday,1,Sep,1995,Wednesday,Sep,2,Urban,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Married,2,Mazda,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,5,External,400,more than 30,more than 30,3 to 5,no change,none,0
8541,Saturday,4,Sep,1995,Tuesday,Sep,4,Urban,1 vehicle,Third Party,No,No,Male,40,36 to 40,Married,1,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,13,External,400,more than 30,more than 30,none,no change,none,0
8542,Tuesday,2,Dec,1995,Wednesday,Dec,4,Urban,1 vehicle,Third Party,No,No,Female,34,31 to 35,Married,4,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
8543,Monday,2,Dec,1995,Friday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Single,3,Accura,Utility,more than 69000,7 years,All Perils,Utility - All Perils,5,External,400,more than 30,more than 30,none,no change,none,0
8544,Saturday,4,Feb,1995,Wednesday,Mar,1,Urban,1 vehicle,Policy Holder,No,No,Male,41,36 to 40,Married,1,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,1 to 2,no change,none,0
8545,Saturday,4,Feb,1995,Wednesday,Mar,1,Urban,1 vehicle,Third Party,No,No,Male,28,31 to 35,Married,3,Toyota,Sedan,less than 20000,5 years,All Perils,Sedan - All Perils,2,External,400,more than 30,more than 30,none,no change,2 to 4,0
8546,Tuesday,1,May,1995,Thursday,May,3,Urban,1 vehicle,Policy Holder,No,No,Male,59,51 to 65,Married,3,Toyota,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,8,External,400,more than 30,more than 30,more than 5,no change,none,0
8547,Friday,1,Apr,1995,Monday,Apr,1,Urban,1 vehicle,Policy Holder,No,No,Male,57,51 to 65,Married,1,Toyota,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,8,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
8548,Friday,1,Jun,1995,Monday,Jun,1,Urban,2 vehicles,Third Party,No,No,Male,58,51 to 65,Married,4,Ford,Sedan,40000 to 59000,more than 7,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,none,4 to 8 years,more than 4,0
8549,Saturday,4,May,1995,Wednesday,May,4,Urban,1 vehicle,Third Party,No,No,Male,51,41 to 50,Married,4,Pontiac,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,9,External,400,more than 30,more than 30,more than 5,no change,1,0
8550,Friday,1,Aug,1995,Wednesday,Aug,2,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,1,Mazda,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,1 to 2,no change,1,0
8551,Wednesday,3,Jul,1995,Tuesday,Aug,1,Urban,1 vehicle,Policy Holder,No,No,Female,31,31 to 35,Married,2,Mazda,Sedan,less than 20000,6 years,All Perils,Sedan - All Perils,3,External,400,more than 30,more than 30,1 to 2,no change,none,0
8552,Sunday,2,Oct,1995,Tuesday,Oct,2,Urban,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,3,Mazda,Sport,30000 to 39000,more than 7,Liability,Sedan - Liability,10,External,400,more than 30,more than 30,none,no change,more than 4,0
8553,Sunday,3,Dec,1995,Tuesday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,27,31 to 35,Married,3,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
8554,Thursday,1,Dec,1995,Saturday,Dec,1,Rural,1 vehicle,Policy Holder,No,No,Male,43,36 to 40,Married,3,Chevrolet,Sedan,40000 to 59000,7 years,Collision,Sedan - Collision,15,Internal,400,more than 30,more than 30,more than 5,no change,none,0
8555,Friday,4,May,1995,Monday,Jun,4,Urban,1 vehicle,Policy Holder,Yes,No,Male,33,31 to 35,Single,3,Chevrolet,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,none,1 year,more than 4,0
8556,Monday,4,Jan,1995,Monday,Jan,4,Urban,1 vehicle,Third Party,No,No,Female,40,36 to 40,Married,3,Pontiac,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,4,External,400,more than 30,more than 30,none,no change,1,0
8557,Tuesday,1,Sep,1995,Tuesday,Sep,2,Urban,1 vehicle,Third Party,No,No,Male,35,31 to 35,Married,4,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,12,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8558,Friday,3,Oct,1995,Monday,Oct,4,Urban,1 vehicle,Third Party,No,No,Male,16,18 to 20,Single,3,Honda,Sport,more than 69000,5 years,Collision,Sport - Collision,10,External,400,more than 30,more than 30,3 to 5,no change,none,0
8559,Monday,1,Oct,1995,Wednesday,Oct,1,Urban,1 vehicle,Third Party,No,No,Male,35,31 to 35,Single,4,Toyota,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,9,External,400,more than 30,more than 30,none,no change,2 to 4,0
8560,Monday,2,Dec,1995,Wednesday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,29,31 to 35,Single,4,Toyota,Sedan,less than 20000,5 years,All Perils,Sedan - All Perils,10,External,400,more than 30,more than 30,none,no change,none,0
8561,Monday,5,May,1995,Wednesday,Jun,2,Urban,1 vehicle,Policy Holder,No,No,Female,22,26 to 30,Married,4,Mazda,Sedan,less than 20000,4 years,All Perils,Sedan - All Perils,9,External,400,8 to 15,15 to 30,none,no change,none,0
8562,Sunday,4,Jan,1995,Monday,Jan,4,Urban,1 vehicle,Third Party,No,No,Female,31,31 to 35,Married,4,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,14,External,400,more than 30,more than 30,more than 5,no change,none,0
8563,Saturday,4,Jan,1995,Monday,Feb,3,Urban,1 vehicle,Policy Holder,No,No,Female,40,36 to 40,Married,1,Honda,Sedan,more than 69000,7 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8564,Monday,3,Jan,1995,Friday,Jan,3,Urban,1 vehicle,Third Party,No,No,Female,43,36 to 40,Married,1,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,12,External,400,more than 30,more than 30,none,no change,none,0
8565,Saturday,3,Jan,1995,Thursday,Jan,3,Rural,1 vehicle,Policy Holder,No,No,Female,33,31 to 35,Married,3,Toyota,Sedan,30000 to 39000,7 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,1 to 2,no change,none,0
8566,Saturday,3,Jan,1995,Thursday,Jan,3,Urban,1 vehicle,Policy Holder,No,No,Female,34,31 to 35,Single,1,Pontiac,Sedan,20000 to 29000,5 years,All Perils,Sedan - All Perils,11,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8567,Saturday,5,Dec,1995,Thursday,Jan,1,Urban,1 vehicle,Third Party,No,No,Male,26,31 to 35,Married,3,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,13,External,400,more than 30,more than 30,none,no change,none,0
8568,Tuesday,2,Dec,1995,Wednesday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,3,Mazda,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,8,External,400,more than 30,more than 30,none,no change,2 to 4,1
8569,Thursday,5,Dec,1995,Monday,Jan,1,Urban,2 vehicles,Third Party,No,No,Male,57,51 to 65,Married,1,Toyota,Sedan,30000 to 39000,more than 7,Collision,Sedan - Collision,6,External,500,more than 30,more than 30,none,2 to 3 years,1,0
8570,Thursday,2,Jul,1995,Monday,Jul,3,Urban,3 to 4,Policy Holder,No,No,Male,46,41 to 50,Married,1,Pontiac,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,16,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
8571,Sunday,4,May,1995,Tuesday,Jun,2,Rural,1 vehicle,Policy Holder,No,No,Male,40,36 to 40,Married,4,Mazda,Sedan,30000 to 39000,6 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
8572,Monday,3,May,1995,Monday,Jun,1,Urban,1 vehicle,Third Party,No,No,Male,64,51 to 65,Married,3,Pontiac,Sedan,more than 69000,more than 7,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,more than 5,no change,2 to 4,0
8573,Tuesday,2,Dec,1995,Thursday,Dec,3,Urban,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Single,3,Pontiac,Sedan,30000 to 39000,6 years,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,3 to 5,no change,none,1
8574,Tuesday,2,Dec,1995,Tuesday,Dec,3,Urban,1 vehicle,Third Party,No,No,Male,31,31 to 35,Single,4,Toyota,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,none,no change,none,0
8575,Sunday,2,Feb,1995,Monday,Feb,3,Urban,1 vehicle,Policy Holder,No,No,Male,77,over 65,Married,2,Pontiac,Sport,30000 to 39000,6 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
8576,Monday,3,Feb,1995,Wednesday,Feb,4,Urban,1 vehicle,Policy Holder,No,No,Female,34,31 to 35,Divorced,3,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,2,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
8577,Tuesday,2,Jun,1995,Tuesday,Jun,3,Urban,1 vehicle,Policy Holder,No,No,Male,37,36 to 40,Married,4,VW,Sedan,30000 to 39000,more than 7,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,1 to 2,no change,none,0
8578,Monday,2,Mar,1995,Monday,Mar,2,Urban,1 vehicle,Policy Holder,No,No,Female,41,36 to 40,Married,4,Mazda,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,3 to 5,no change,2 to 4,0
8579,Monday,2,Mar,1995,Monday,Mar,2,Urban,1 vehicle,Policy Holder,No,No,Male,28,31 to 35,Married,4,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,1 to 2,no change,1,0
8580,Tuesday,5,Mar,1995,Tuesday,Mar,5,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Married,2,Toyota,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,2 to 4,0
8581,Saturday,1,Jul,1995,Wednesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Female,31,31 to 35,Single,2,Pontiac,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,10,External,400,more than 30,more than 30,none,no change,1,0
8582,Friday,1,Jul,1995,Friday,Jul,2,Urban,1 vehicle,Third Party,No,No,Male,27,31 to 35,Married,3,Chevrolet,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,none,no change,2 to 4,0
8583,Monday,5,Nov,1995,Wednesday,Jan,2,Urban,1 vehicle,Third Party,No,No,Male,57,51 to 65,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,14,External,400,more than 30,more than 30,none,no change,none,0
8584,Sunday,4,Jun,1995,Monday,Jun,4,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,2,Honda,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,none,no change,2 to 4,0
8585,Monday,4,Jun,1995,Friday,Jul,2,Urban,1 vehicle,Third Party,No,No,Male,33,31 to 35,Single,4,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,none,no change,1,0
8586,Wednesday,2,Apr,1995,Monday,Apr,3,Urban,1 vehicle,Third Party,No,No,Female,43,36 to 40,Married,1,Chevrolet,Sedan,more than 69000,7 years,All Perils,Sedan - All Perils,2,External,400,more than 30,more than 30,none,no change,none,0
8587,Tuesday,3,Nov,1995,Thursday,Nov,4,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,4,Chevrolet,Utility,more than 69000,6 years,All Perils,Utility - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
8588,Tuesday,5,Nov,1995,Thursday,Nov,5,Urban,1 vehicle,Policy Holder,No,No,Female,45,36 to 40,Married,3,Pontiac,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,3 to 5,no change,none,0
8589,Friday,5,Apr,1995,Wednesday,May,4,Rural,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,1,Pontiac,Sedan,less than 20000,6 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,1 to 2,no change,none,0
8590,Wednesday,4,Apr,1995,Monday,May,5,Urban,2 vehicles,Policy Holder,No,No,Female,26,31 to 35,Single,2,Pontiac,Sedan,more than 69000,7 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,more than 5,4 to 8 years,2 to 4,0
8591,Monday,4,Dec,1995,Tuesday,Dec,4,Rural,1 vehicle,Policy Holder,No,No,Male,34,31 to 35,Married,3,Honda,Sport,more than 69000,6 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,more than 5,no change,more than 4,0
8592,Tuesday,2,Dec,1995,Thursday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Male,52,41 to 50,Married,2,Accura,Sedan,30000 to 39000,7 years,All Perils,Sedan - All Perils,11,External,400,more than 30,more than 30,none,no change,2 to 4,1
8593,Tuesday,5,Nov,1995,Wednesday,Nov,5,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Married,4,Honda,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,14,External,400,more than 30,more than 30,1 to 2,no change,2 to 4,0
8594,Thursday,4,Apr,1995,Friday,Apr,5,Rural,1 vehicle,Third Party,No,No,Male,51,41 to 50,Married,2,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,3,External,400,more than 30,more than 30,none,no change,none,0
8595,Thursday,3,Mar,1995,Thursday,Mar,3,Rural,1 vehicle,Third Party,No,No,Male,44,36 to 40,Married,1,Chevrolet,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,9,External,400,more than 30,more than 30,none,no change,none,0
8596,Thursday,1,Feb,1995,Monday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Male,21,26 to 30,Single,1,Honda,Sedan,20000 to 29000,5 years,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,1 to 2,no change,1,0
8597,Friday,1,Feb,1995,Monday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Female,38,36 to 40,Married,1,Pontiac,Sedan,20000 to 29000,7 years,All Perils,Sedan - All Perils,16,External,400,more than 30,more than 30,1 to 2,no change,1,0
8598,Saturday,2,Jan,1995,Thursday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Female,58,51 to 65,Single,4,Pontiac,Sport,20000 to 29000,more than 7,Liability,Sedan - Liability,11,External,400,more than 30,more than 30,none,no change,2 to 4,0
8599,Friday,1,Jan,1995,Monday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,39,36 to 40,Married,2,Chevrolet,Sedan,20000 to 29000,7 years,Collision,Sedan - Collision,4,External,400,more than 30,more than 30,1 to 2,no change,none,0
8600,Monday,1,Jan,1995,Wednesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,53,41 to 50,Married,4,Pontiac,Sport,20000 to 29000,5 years,Liability,Sedan - Liability,6,External,400,more than 30,more than 30,none,no change,2 to 4,0
8601,Tuesday,1,Jan,1995,Wednesday,Jan,2,Urban,1 vehicle,Policy Holder,No,No,Male,46,41 to 50,Single,4,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,15,External,400,more than 30,more than 30,3 to 5,no change,more than 4,0
8602,Sunday,1,Jan,1995,Monday,Jan,1,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Single,1,Ford,Sport,more than 69000,6 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,none,no change,1,0
8603,Wednesday,4,Dec,1995,Monday,Feb,1,Urban,1 vehicle,Policy Holder,No,No,Male,45,36 to 40,Married,4,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,6,External,400,more than 30,more than 30,none,no change,2 to 4,0
8604,Wednesday,3,Dec,1995,Thursday,Feb,2,Urban,1 vehicle,Policy Holder,No,No,Male,35,31 to 35,Single,3,Toyota,Sedan,20000 to 29000,6 years,Collision,Sedan - Collision,15,External,400,more than 30,more than 30,3 to 5,no change,none,1
8605,Wednesday,3,Dec,1995,Friday,Jan,4,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Married,1,Pontiac,Sedan,30000 to 39000,6 years,All Perils,Sedan - All Perils,15,External,400,more than 30,more than 30,none,no change,2 to 4,1
8606,Wednesday,2,Oct,1995,Thursday,Oct,2,Urban,1 vehicle,Policy Holder,No,No,Female,30,31 to 35,Married,3,Mazda,Sport,20000 to 29000,6 years,Liability,Sedan - Liability,1,External,400,more than 30,more than 30,1 to 2,no change,more than 4,0
8607,Tuesday,4,Sep,1995,Thursday,Sep,5,Urban,1 vehicle,Policy Holder,No,No,Male,53,41 to 50,Married,1,Toyota,Sedan,less than 20000,more than 7,All Perils,Sedan - All Perils,5,External,400,more than 30,more than 30,none,no change,2 to 4,0
8608,Wednesday,5,Aug,1995,Thursday,Sep,1,Urban,1 vehicle,Policy Holder,No,No,Male,29,31 to 35,Married,4,Mazda,Sedan,20000 to 29000,6 years,All Perils,Sedan - All Perils,12,External,400,more than 30,more than 30,none,no change,2 to 4,0
8609,Saturday,4,Jul,1995,Wednesday,Jul,4,Urban,1 vehicle,Policy Holder,No,No,Male,46,41 to 50,Married,1,Pontiac,Sedan,more than 69000,more than 7,All Perils,Sedan - All Perils,1,External,400,more than 30,more than 30,3 to 5,no change,none,0
8610,Friday,4,Jul,1995,Tuesday,Jul,4,Urban,1 vehicle,Policy Holder,No,No,Male,48,41 to 50,Single,2,Pontiac,Sedan,20000 to 29000,more than 7,All Perils,Sedan - All Perils,13,External,400,more than 30,more than 30,more than 5,no change,1,0
8611,Wednesday,3,May,1995,Thursday,May,3,Rural,3 to 4,Policy Holder,No,No,Male,37,36 to 40,Married,1,Honda,Sport,30000 to 39000,7 years,Liability,Sedan - Liability,5,External,400,more than 30,more than 30,none,4 to 8 years,more than 4,0
8612,Thursday,4,Apr,1995,Thursday,Apr,4,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Married,1,Toyota,Sport,20000 to 29000,7 years,Liability,Sedan - Liability,9,External,400,more than 30,more than 30,none,no change,more than 4,0
8613,Friday,3,Apr,1995,Monday,May,1,Urban,1 vehicle,Policy Holder,No,No,Male,50,41 to 50,Married,4,Chevrolet,Sport,40000 to 59000,more than 7,Liability,Sedan - Liability,2,External,400,more than 30,more than 30,3 to 5,no change,1,0
8614,Thursday,3,Dec,1995,Friday,Dec,4,Urban,1 vehicle,Policy Holder,No,No,Male,47,41 to 50,Married,2,Honda,Sedan,20000 to 29000,more than 7,Collision,Sedan - Collision,7,External,400,more than 30,more than 30,none,no change,none,1
8615,Monday,3,Nov,1995,Thursday,Nov,4,Urban,1 vehicle,Policy Holder,No,No,Male,44,36 to 40,Married,1,Chevrolet,Utility,more than 69000,7 years,All Perils,Utility - All Perils,12,External,400,more than 30,more than 30,none,no change,1,0
